Outlet_ID,Outlet_Name,Employees_First_Month,Turnover_First_Month,Employees_Latest_Month,Turnover_Latest_Month,Employee_Change,Turnover_Change,Employee_Trend,Trend_Insight
OUT0023,Franchise Outlet 0023,10.0,8.87,10.0,11.02,0.0,2.15,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0024,Franchise Outlet 0024,14.0,7.16,14.0,9.16,0.0,2.0,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0025,Franchise Outlet 0025,11.0,8.15,11.0,3.41,0.0,-4.74,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0026,Franchise Outlet 0026,18.0,7.85,18.0,4.32,0.0,-3.53,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0027,Franchise Outlet 0027,16.0,8.07,16.0,11.24,0.0,3.17,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0028,Franchise Outlet 0028,22.0,4.6,22.0,7.07,0.0,2.47,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0029,Franchise Outlet 0029,17.0,11.98,17.0,12.73,0.0,0.75,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0030,Franchise Outlet 0030,17.0,10.27,17.0,10.13,0.0,-0.14,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0031,Franchise Outlet 0031,22.0,5.2,22.0,2.65,0.0,-2.55,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0032,Franchise Outlet 0032,24.0,10.62,24.0,7.54,0.0,-3.08,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0033,Franchise Outlet 0033,18.0,8.91,18.0,7.11,0.0,-1.8,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0034,Franchise Outlet 0034,15.0,,15.0,6.54,0.0,,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0035,Franchise Outlet 0035,15.0,2.34,15.0,5.45,0.0,3.11,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0036,Franchise Outlet 0036,22.0,11.18,22.0,13.33,0.0,2.15,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0037,Franchise Outlet 0037,12.0,9.65,12.0,10.8,0.0,1.15,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0038,Franchise Outlet 0038,31.0,14.24,31.0,13.87,0.0,-0.37,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0039,Franchise Outlet 0039,17.0,5.84,17.0,2.97,0.0,-2.87,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0040,Franchise Outlet 0040,19.0,9.6,19.0,8.09,0.0,-1.51,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0041,Franchise Outlet 0041,13.0,8.12,13.0,4.82,0.0,-3.3,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0042,Franchise Outlet 0042,18.0,9.35,18.0,5.64,0.0,-3.71,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0043,Franchise Outlet 0043,12.0,5.41,12.0,6.69,0.0,1.28,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0044,Franchise Outlet 0044,19.0,5.3,19.0,10.35,0.0,5.05,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0045,Franchise Outlet 0045,19.0,12.51,19.0,10.08,0.0,-2.43,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0046,Franchise Outlet 0046,17.0,9.79,17.0,8.08,0.0,-1.71,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0047,Franchise Outlet 0047,14.0,10.25,14.0,12.12,0.0,1.87,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0048,Franchise Outlet 0048,10.0,4.64,10.0,3.37,0.0,-1.27,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0049,Franchise Outlet 0049,16.0,6.06,16.0,5.27,0.0,-0.79,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0050,Franchise Outlet 0050,13.0,8.91,13.0,10.32,0.0,1.41,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0051,Franchise Outlet 0051,15.0,6.42,15.0,3.25,0.0,-3.17,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0052,Franchise Outlet 0052,26.0,8.34,26.0,6.94,0.0,-1.4,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0053,Franchise Outlet 0053,14.0,4.83,14.0,8.17,0.0,3.34,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0054,Franchise Outlet 0054,28.0,13.35,28.0,8.46,0.0,-4.89,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0055,Franchise Outlet 0055,21.0,9.54,21.0,5.53,0.0,-4.01,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0056,Franchise Outlet 0056,31.0,12.34,31.0,10.16,0.0,-2.18,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0057,Franchise Outlet 0057,19.0,2.24,19.0,4.27,0.0,2.03,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0058,Franchise Outlet 0058,13.0,9.22,13.0,8.76,0.0,-0.46,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0059,Franchise Outlet 0059,25.0,12.89,25.0,4.99,0.0,-7.9,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0060,Franchise Outlet 0060,20.0,7.0,20.0,5.38,0.0,-1.62,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0061,Franchise Outlet 0061,21.0,10.51,21.0,2.6,0.0,-7.91,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0062,Franchise Outlet 0062,15.0,11.66,15.0,5.02,0.0,-6.64,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0063,Franchise Outlet 0063,16.0,6.19,16.0,10.53,0.0,4.34,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0064,Franchise Outlet 0064,26.0,13.61,26.0,6.37,0.0,-7.24,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0065,Franchise Outlet 0065,14.0,5.58,14.0,4.92,0.0,-0.66,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0066,Franchise Outlet 0066,7.0,7.91,7.0,8.36,0.0,0.45,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0067,Franchise Outlet 0067,16.0,5.08,16.0,12.01,0.0,6.93,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0068,Franchise Outlet 0068,21.0,11.39,21.0,9.26,0.0,-2.13,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0069,Franchise Outlet 0069,24.0,7.55,24.0,9.0,0.0,1.45,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0070,Franchise Outlet 0070,23.0,2.95,23.0,2.82,0.0,-0.13,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0071,Franchise Outlet 0071,16.0,8.46,16.0,9.76,0.0,1.3,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0072,Franchise Outlet 0072,22.0,11.51,22.0,10.68,0.0,-0.83,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0073,Franchise Outlet 0073,13.0,5.04,13.0,10.1,0.0,5.06,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0074,Franchise Outlet 0074,14.0,4.4,14.0,5.3,0.0,0.9,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0075,Franchise Outlet 0075,13.0,4.96,13.0,8.99,0.0,4.03,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0076,Franchise Outlet 0076,16.0,10.83,16.0,9.18,0.0,-1.65,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0077,Franchise Outlet 0077,12.0,7.89,12.0,5.68,0.0,-2.21,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0078,Franchise Outlet 0078,20.0,8.0,20.0,7.6,0.0,-0.4,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0079,Franchise Outlet 0079,22.0,4.23,22.0,3.9,0.0,-0.33,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0080,Franchise Outlet 0080,18.0,7.3,18.0,9.01,0.0,1.71,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0081,Franchise Outlet 0081,17.0,7.61,17.0,6.04,0.0,-1.57,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0082,Franchise Outlet 0082,20.0,2.6,20.0,10.22,0.0,7.62,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0083,Franchise Outlet 0083,19.0,2.3,19.0,7.22,0.0,4.92,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0084,Franchise Outlet 0084,21.0,9.46,21.0,5.7,0.0,-3.76,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0085,Franchise Outlet 0085,19.0,3.33,19.0,9.73,0.0,6.4,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0086,Franchise Outlet 0086,12.0,4.94,12.0,8.13,0.0,3.19,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0087,Franchise Outlet 0087,18.0,6.46,18.0,10.77,0.0,4.31,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0088,Franchise Outlet 0088,17.0,10.07,17.0,7.95,0.0,-2.12,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0089,Franchise Outlet 0089,13.0,8.12,13.0,8.32,0.0,0.2,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0090,Franchise Outlet 0090,23.0,12.61,23.0,7.52,0.0,-5.09,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0091,Franchise Outlet 0091,19.0,5.48,19.0,7.69,0.0,2.21,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0092,Franchise Outlet 0092,24.0,9.39,24.0,6.88,0.0,-2.51,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0093,Franchise Outlet 0093,21.0,10.03,21.0,9.02,0.0,-1.01,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0094,Franchise Outlet 0094,33.0,6.01,33.0,11.26,0.0,5.25,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0095,Franchise Outlet 0095,17.0,7.65,17.0,9.2,0.0,1.55,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0096,Franchise Outlet 0096,15.0,8.2,15.0,1.0,0.0,-7.2,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0097,Franchise Outlet 0097,22.0,7.7,22.0,8.1,0.0,0.4,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0098,Franchise Outlet 0098,22.0,7.57,22.0,7.77,0.0,0.2,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0099,Franchise Outlet 0099,12.0,11.12,12.0,9.43,0.0,-1.69,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0100,Franchise Outlet 0100,17.0,8.35,17.0,7.9,0.0,-0.45,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0101,Franchise Outlet 0101,20.0,4.87,20.0,7.44,0.0,2.57,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0102,Franchise Outlet 0102,15.0,8.09,15.0,13.37,0.0,5.28,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0103,Franchise Outlet 0103,16.0,4.61,16.0,6.07,0.0,1.46,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0104,Franchise Outlet 0104,20.0,7.96,20.0,6.42,0.0,-1.54,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0105,Franchise Outlet 0105,25.0,6.72,25.0,6.62,0.0,-0.1,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0106,Franchise Outlet 0106,15.0,2.83,15.0,3.34,0.0,0.51,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0107,Franchise Outlet 0107,16.0,3.52,16.0,7.54,0.0,4.02,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0108,Franchise Outlet 0108,6.0,7.42,6.0,7.1,0.0,-0.32,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0109,Franchise Outlet 0109,16.0,5.2,16.0,7.42,0.0,2.22,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0110,Franchise Outlet 0110,12.0,9.21,12.0,5.9,0.0,-3.31,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0111,Franchise Outlet 0111,9.0,5.74,9.0,8.03,0.0,2.29,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0112,Franchise Outlet 0112,18.0,9.4,18.0,1.0,0.0,-8.4,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0113,Franchise Outlet 0113,26.0,8.26,26.0,9.09,0.0,0.83,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0114,Franchise Outlet 0114,24.0,10.44,24.0,8.73,0.0,-1.71,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0115,Franchise Outlet 0115,4.0,10.93,4.0,6.58,0.0,-4.35,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0116,Franchise Outlet 0116,24.0,,24.0,3.77,0.0,,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0117,Franchise Outlet 0117,15.0,12.86,15.0,8.68,0.0,-4.18,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0118,Franchise Outlet 0118,17.0,4.98,17.0,1.86,0.0,-3.12,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0119,Franchise Outlet 0119,21.0,3.92,21.0,5.77,0.0,1.85,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0120,Franchise Outlet 0120,16.0,8.67,16.0,8.91,0.0,0.24,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0121,Franchise Outlet 0121,15.0,12.74,15.0,8.77,0.0,-3.97,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0122,Franchise Outlet 0122,19.0,10.27,19.0,12.83,0.0,2.56,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0123,Franchise Outlet 0123,28.0,6.7,28.0,6.49,0.0,-0.21,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0124,Franchise Outlet 0124,19.0,9.33,19.0,9.89,0.0,0.56,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0125,Franchise Outlet 0125,25.0,9.46,25.0,8.77,0.0,-0.69,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0126,Franchise Outlet 0126,13.0,9.79,13.0,8.5,0.0,-1.29,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0127,Franchise Outlet 0127,16.0,5.82,16.0,6.08,0.0,0.26,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0128,Franchise Outlet 0128,17.0,7.79,17.0,6.7,0.0,-1.09,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0129,Franchise Outlet 0129,14.0,9.82,14.0,7.87,0.0,-1.95,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0130,Franchise Outlet 0130,26.0,5.25,26.0,4.43,0.0,-0.82,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0131,Franchise Outlet 0131,22.0,11.1,22.0,9.97,0.0,-1.13,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0132,Franchise Outlet 0132,22.0,7.33,22.0,3.07,0.0,-4.26,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0133,Franchise Outlet 0133,12.0,13.88,12.0,8.74,0.0,-5.14,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0134,Franchise Outlet 0134,21.0,5.37,21.0,4.95,0.0,-0.42,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0135,Franchise Outlet 0135,20.0,11.47,20.0,14.28,0.0,2.81,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0136,Franchise Outlet 0136,11.0,8.84,11.0,8.02,0.0,-0.82,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0137,Franchise Outlet 0137,16.0,8.94,16.0,6.32,0.0,-2.62,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0138,Franchise Outlet 0138,18.0,10.4,18.0,8.6,0.0,-1.8,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0139,Franchise Outlet 0139,18.0,12.69,18.0,13.55,0.0,0.86,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0140,Franchise Outlet 0140,15.0,7.23,15.0,8.13,0.0,0.9,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0141,Franchise Outlet 0141,14.0,5.91,14.0,5.97,0.0,0.06,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0142,Franchise Outlet 0142,6.0,8.95,6.0,6.81,0.0,-2.14,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0143,Franchise Outlet 0143,16.0,8.37,16.0,10.47,0.0,2.1,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0144,Franchise Outlet 0144,4.0,10.08,4.0,7.07,0.0,-3.01,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0145,Franchise Outlet 0145,18.0,5.97,18.0,10.57,0.0,4.6,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0146,Franchise Outlet 0146,25.0,5.94,25.0,5.56,0.0,-0.38,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0147,Franchise Outlet 0147,8.0,6.77,8.0,6.43,0.0,-0.34,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0148,Franchise Outlet 0148,19.0,8.77,19.0,10.73,0.0,1.96,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0149,Franchise Outlet 0149,20.0,4.14,20.0,6.09,0.0,1.95,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0150,Franchise Outlet 0150,18.0,9.04,18.0,11.55,0.0,2.51,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0151,Franchise Outlet 0151,26.0,9.44,26.0,10.7,0.0,1.26,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0152,Franchise Outlet 0152,17.0,10.48,17.0,8.3,0.0,-2.18,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0153,Franchise Outlet 0153,22.0,7.05,22.0,5.49,0.0,-1.56,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0154,Franchise Outlet 0154,26.0,6.86,26.0,11.82,0.0,4.96,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0155,Franchise Outlet 0155,15.0,7.9,15.0,13.07,0.0,5.17,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0156,Franchise Outlet 0156,17.0,6.96,17.0,12.58,0.0,5.62,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0157,Franchise Outlet 0157,10.0,12.44,10.0,4.82,0.0,-7.62,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0158,Franchise Outlet 0158,17.0,4.37,17.0,7.03,0.0,2.66,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0159,Franchise Outlet 0159,16.0,7.57,16.0,9.85,0.0,2.28,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0160,Franchise Outlet 0160,26.0,10.05,26.0,9.69,0.0,-0.36,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0161,Franchise Outlet 0161,21.0,13.21,21.0,7.9,0.0,-5.31,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0162,Franchise Outlet 0162,21.0,13.95,21.0,8.95,0.0,-5.0,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0163,Franchise Outlet 0163,19.0,4.16,19.0,9.1,0.0,4.94,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0164,Franchise Outlet 0164,16.0,10.15,16.0,9.74,0.0,-0.41,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0165,Franchise Outlet 0165,11.0,6.48,11.0,6.8,0.0,0.32,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0166,Franchise Outlet 0166,16.0,9.79,16.0,13.03,0.0,3.24,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0167,Franchise Outlet 0167,10.0,3.36,10.0,4.45,0.0,1.09,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0168,Franchise Outlet 0168,20.0,6.15,20.0,1.37,0.0,-4.78,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0169,Franchise Outlet 0169,17.0,13.62,17.0,13.97,0.0,0.35,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0170,Franchise Outlet 0170,14.0,7.46,14.0,8.88,0.0,1.42,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0171,Franchise Outlet 0171,11.0,4.18,11.0,9.18,0.0,5.0,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0172,Franchise Outlet 0172,16.0,13.03,16.0,7.76,0.0,-5.27,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0173,Franchise Outlet 0173,20.0,12.04,20.0,12.47,0.0,0.43,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0174,Franchise Outlet 0174,22.0,6.33,22.0,10.46,0.0,4.13,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0175,Franchise Outlet 0175,23.0,6.85,23.0,6.65,0.0,-0.2,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0176,Franchise Outlet 0176,17.0,9.83,17.0,8.69,0.0,-1.14,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0177,Franchise Outlet 0177,19.0,5.43,19.0,5.38,0.0,-0.05,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0178,Franchise Outlet 0178,17.0,4.75,17.0,4.58,0.0,-0.17,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0179,Franchise Outlet 0179,13.0,17.73,13.0,7.54,0.0,-10.19,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0180,Franchise Outlet 0180,15.0,5.11,15.0,11.67,0.0,6.56,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0181,Franchise Outlet 0181,21.0,5.17,21.0,5.69,0.0,0.52,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0182,Franchise Outlet 0182,13.0,7.51,13.0,7.8,0.0,0.29,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0183,Franchise Outlet 0183,19.0,6.13,19.0,3.7,0.0,-2.43,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0184,Franchise Outlet 0184,15.0,10.18,15.0,13.14,0.0,2.96,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0185,Franchise Outlet 0185,9.0,1.66,9.0,9.94,0.0,8.28,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0186,Franchise Outlet 0186,17.0,9.34,17.0,6.99,0.0,-2.35,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0187,Franchise Outlet 0187,17.0,8.69,17.0,9.85,0.0,1.16,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0188,Franchise Outlet 0188,13.0,11.61,13.0,7.89,0.0,-3.72,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0189,Franchise Outlet 0189,21.0,9.4,21.0,8.8,0.0,-0.6,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
OUT0190,Franchise Outlet 0190,19.0,8.66,19.0,10.93,0.0,2.27,No change,Employee count no change by 0.00 between 2023-01 and 2026-04.
